original_name,refactored_name,type,full_name,namespace,package,toolkit
(unnamed enum at E:\code\occtSrc\Install\inc\NCollection_CellFilter.hxx:506:3),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\NCollection_CellFilter.hxx:506:3),,(unnamed enum at E:\code\occtSrc\Install\inc\NCollection,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\NCollection_CellFilter.hxx:535:3),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\NCollection_CellFilter.hxx:535:3),,(unnamed enum at E:\code\occtSrc\Install\inc\NCollection,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\OpenGl_PrimitiveArray.hxx:47:3),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\OpenGl_PrimitiveArray.hxx:47:3),,(unnamed enum at E:\code\occtSrc\Install\inc\OpenGl,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\Poly_MeshPurpose.hxx:20:1),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\Poly_MeshPurpose.hxx:20:1),,(unnamed enum at E:\code\occtSrc\Install\inc\Poly,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\Prs3d_DatumAttribute.hxx:40:1),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\Prs3d_DatumAttribute.hxx:40:1),,(unnamed enum at E:\code\occtSrc\Install\inc\Prs3d,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\Prs3d_DatumParts.hxx:46:1),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\Prs3d_DatumParts.hxx:46:1),,(unnamed enum at E:\code\occtSrc\Install\inc\Prs3d,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\RWGltf_WriterTrsfFormat.hxx:28:1),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\RWGltf_WriterTrsfFormat.hxx:28:1),,(unnamed enum at E:\code\occtSrc\Install\inc\RWGltf,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\SelectMgr_RectangularFrustum.hxx:296:3),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\SelectMgr_RectangularFrustum.hxx:296:3),,(unnamed enum at E:\code\occtSrc\Install\inc\SelectMgr,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\TDF_LabelNode.hxx:39:1),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\TDF_LabelNode.hxx:39:1),,(unnamed enum at E:\code\occtSrc\Install\inc\TDF,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\TDocStd_FormatVersion.hxx:86:1),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\TDocStd_FormatVersion.hxx:86:1),,(unnamed enum at E:\code\occtSrc\Install\inc\TDocStd,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\TObj_TIntSparseArray.hxx:129:3),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\TObj_TIntSparseArray.hxx:129:3),,(unnamed enum at E:\code\occtSrc\Install\inc\TObj,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\TopTools_FormatVersion.hxx:31:1),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\TopTools_FormatVersion.hxx:31:1),,(unnamed enum at E:\code\occtSrc\Install\inc\TopTools,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\WNT_HIDSpaceMouse.hxx:165:3),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\WNT_HIDSpaceMouse.hxx:165:3),,(unnamed enum at E:\code\occtSrc\Install\inc\WNT,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\WNT_HIDSpaceMouse.hxx:95:3),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\WNT_HIDSpaceMouse.hxx:95:3),,(unnamed enum at E:\code\occtSrc\Install\inc\WNT,Unknown
(unnamed enum at E:\code\occtSrc\Install\inc\XCAFPrs_DocumentExplorer.hxx:40:1),,Enum,(unnamed enum at E:\code\occtSrc\Install\inc\XCAFPrs_DocumentExplorer.hxx:40:1),,(unnamed enum at E:\code\occtSrc\Install\inc\XCAFPrs,Unknown
AIS_DisplayMode,,Enum,AIS_DisplayMode,,AIS,TKV3d
AIS_DragAction,,Enum,AIS_DragAction,,AIS,TKV3d
AIS_KindOfInteractive,,Enum,AIS_KindOfInteractive,,AIS,TKV3d
AIS_ManipulatorMode,,Enum,AIS_ManipulatorMode,,AIS,TKV3d
AIS_MouseGesture,,Enum,AIS_MouseGesture,,AIS,TKV3d
AIS_NavigationMode,,Enum,AIS_NavigationMode,,AIS,TKV3d
AIS_RotationMode,,Enum,AIS_RotationMode,,AIS,TKV3d
AIS_SelectStatus,,Enum,AIS_SelectStatus,,AIS,TKV3d
AIS_SelectionModesConcurrency,,Enum,AIS_SelectionModesConcurrency,,AIS,TKV3d
AIS_SelectionScheme,,Enum,AIS_SelectionScheme,,AIS,TKV3d
AIS_StatusOfDetection,,Enum,AIS_StatusOfDetection,,AIS,TKV3d
AIS_StatusOfPick,,Enum,AIS_StatusOfPick,,AIS,TKV3d
AIS_TrihedronSelectionMode,,Enum,AIS_TrihedronSelectionMode,,AIS,TKV3d
AIS_TypeOfAttribute,,Enum,AIS_TypeOfAttribute,,AIS,TKV3d
AIS_TypeOfAxis,,Enum,AIS_TypeOfAxis,,AIS,TKV3d
AIS_TypeOfIso,,Enum,AIS_TypeOfIso,,AIS,TKV3d
AIS_TypeOfPlane,,Enum,AIS_TypeOfPlane,,AIS,TKV3d
AIS_ViewInputBufferType,,Enum,AIS_ViewInputBufferType,,AIS,TKV3d
AIS_ViewSelectionTool,,Enum,AIS_ViewSelectionTool,,AIS,TKV3d
AIS_WalkRotation,,Enum,AIS_WalkRotation,,AIS,TKV3d
AIS_WalkTranslation,,Enum,AIS_WalkTranslation,,AIS,TKV3d
AdvApp2Var_CriterionRepartition,,Enum,AdvApp2Var_CriterionRepartition,,AdvApp2Var,TKGeomBase
AdvApp2Var_CriterionType,,Enum,AdvApp2Var_CriterionType,,AdvApp2Var,TKGeomBase
AllocatorType,,Enum,AllocatorType,,AllocatorType,Unknown
Anaglyph,,Enum,Anaglyph,,Anaglyph,Unknown
AngleUnitMode,,Enum,AngleUnitMode,,AngleUnitMode,Unknown
AnimationState,,Enum,AnimationState,,AnimationState,Unknown
AppParCurves_Constraint,,Enum,AppParCurves_Constraint,,AppParCurves,TKGeomBase
AppendMode,,Enum,AppendMode,,AppendMode,Unknown
Approx_ParametrizationType,,Enum,Approx_ParametrizationType,,Approx,TKGeomBase
Approx_Status,,Enum,Approx_Status,,Approx,TKGeomBase
Aspect_ColorSpace,,Enum,Aspect_ColorSpace,,Aspect,TKService
Aspect_Eye,,Enum,Aspect_Eye,,Aspect,TKService
Aspect_FillMethod,,Enum,Aspect_FillMethod,,Aspect,TKService
Aspect_GradientFillMethod,,Enum,Aspect_GradientFillMethod,,Aspect,TKService
Aspect_GraphicsLibrary,,Enum,Aspect_GraphicsLibrary,,Aspect,TKService
Aspect_GridDrawMode,,Enum,Aspect_GridDrawMode,,Aspect,TKService
Aspect_GridType,,Enum,Aspect_GridType,,Aspect,TKService
Aspect_HatchStyle,,Enum,Aspect_HatchStyle,,Aspect,TKService
Aspect_InteriorStyle,,Enum,Aspect_InteriorStyle,,Aspect,TKService
Aspect_PolygonOffsetMode,,Enum,Aspect_PolygonOffsetMode,,Aspect,TKService
Aspect_PolygonOffsetMode,,Enum,Aspect_PolygonOffsetMode,,Aspect,TKService
Aspect_TypeOfColorScaleData,,Enum,Aspect_TypeOfColorScaleData,,Aspect,TKService
Aspect_TypeOfColorScaleOrientation,,Enum,Aspect_TypeOfColorScaleOrientation,,Aspect,TKService
Aspect_TypeOfColorScalePosition,,Enum,Aspect_TypeOfColorScalePosition,,Aspect,TKService
Aspect_TypeOfDeflection,,Enum,Aspect_TypeOfDeflection,,Aspect,TKService
Aspect_TypeOfDisplayText,,Enum,Aspect_TypeOfDisplayText,,Aspect,TKService
Aspect_TypeOfFacingModel,,Enum,Aspect_TypeOfFacingModel,,Aspect,TKService
Aspect_TypeOfHighlightMethod,,Enum,Aspect_TypeOfHighlightMethod,,Aspect,TKService
Aspect_TypeOfLine,,Enum,Aspect_TypeOfLine,,Aspect,TKService
Aspect_TypeOfMarker,,Enum,Aspect_TypeOfMarker,,Aspect,TKService
Aspect_TypeOfResize,,Enum,Aspect_TypeOfResize,,Aspect,TKService
Aspect_TypeOfStyleText,,Enum,Aspect_TypeOfStyleText,,Aspect,TKService
Aspect_TypeOfTriedronPosition,,Enum,Aspect_TypeOfTriedronPosition,,Aspect,TKService
Aspect_VKeyBasic,,Enum,Aspect_VKeyBasic,,Aspect,TKService
Aspect_WidthOfLine,,Enum,Aspect_WidthOfLine,,Aspect,TKService
Aspect_XAtom,,Enum,Aspect_XAtom,,Aspect,TKService
Aspect_XRActionType,,Enum,Aspect_XRActionType,,Aspect,TKService
Aspect_XRGenericAction,,Enum,Aspect_XRGenericAction,,Aspect,TKService
Aspect_XRTrackedDeviceRole,,Enum,Aspect_XRTrackedDeviceRole,,Aspect,TKService
AxisFlags,,Enum,AxisFlags,,AxisFlags,Unknown
BOMType,,Enum,BOMType,,BOMType,Unknown
BOPAlgo_CheckStatus,,Enum,BOPAlgo_CheckStatus,,BOPAlgo,TKBO
BOPAlgo_GlueEnum,,Enum,BOPAlgo_GlueEnum,,BOPAlgo,TKBO
BOPAlgo_Operation,,Enum,BOPAlgo_Operation,,BOPAlgo,TKBO
BOPAlgo_PIOperation,,Enum,BOPAlgo_PIOperation,,BOPAlgo,TKBO
BOPAlgo_PIOperation,,Enum,BOPAlgo_PIOperation,,BOPAlgo,TKBO
BOPAlgo_PIOperation,,Enum,BOPAlgo_PIOperation,,BOPAlgo,TKBO
BOPAlgo_PIOperation,,Enum,BOPAlgo_PIOperation,,BOPAlgo,TKBO
BRepBuilderAPI_EdgeError,,Enum,BRepBuilderAPI_EdgeError,,BRepBuilderAPI,TKTopAlgo
BRepBuilderAPI_FaceError,,Enum,BRepBuilderAPI_FaceError,,BRepBuilderAPI,TKTopAlgo
